date,value
2023-05-22,40822.31
2023-05-23,40632.18
2023-05-24,40488.17
2023-05-25,40451.19
2023-05-26,41795.44
2023-05-27,41795.44
2023-05-28,41795.44
2023-05-29,41795.44
2023-05-30,41963.41
2023-05-31,41950.48
2023-06-01,42628.55
2023-06-02,43257.92
2023-06-03,43257.92
2023-06-04,43257.92
2023-06-05,43593.76
2023-06-06,44150.72
2023-06-07,43033.20
2023-06-08,43110.89
2023-06-09,43286.37
2023-06-10,43286.37
2023-06-11,43286.37
2023-06-12,44065.89
2023-06-13,44837.06
2023-06-14,44998.87
2023-06-15,45657.42
2023-06-16,45606.68
2023-06-17,45606.68
2023-06-18,45606.68
2023-06-19,45606.68
2023-06-20,45714.75
2023-06-21,45453.87
2023-06-22,46262.65
2023-06-23,46010.38
2023-06-24,46010.38
2023-06-25,46010.38
2023-06-26,45017.96
2023-06-27,45899.96
2023-06-28,46167.47
2023-06-29,45629.41
2023-06-30,45791.66
2023-07-01,45791.66
2023-07-02,45791.66
2023-07-03,46343.00
2023-07-04,46343.00
2023-07-05,46446.63
2023-07-06,45930.18
2023-07-07,46532.35
2023-07-08,46532.35
2023-07-09,46532.35
2023-07-10,47263.89
2023-07-11,48769.62
2023-07-12,49255.52
2023-07-13,50016.10
2023-07-14,49257.92
2023-07-15,49257.92
2023-07-16,49257.92
2023-07-17,50015.67
2023-07-18,50561.11
2023-07-19,50968.44
2023-07-20,49339.01
2023-07-21,48844.46
2023-07-22,48844.46
2023-07-23,48844.46
2023-07-24,48770.07
2023-07-25,48927.07
2023-07-26,49374.83
2023-07-27,49500.13
2023-07-28,50074.23
2023-07-29,50074.23
2023-07-30,50074.23
2023-07-31,50552.18
2023-08-01,50538.38
2023-08-02,49030.41
2023-08-03,48741.89
2023-08-04,48400.94
2023-08-05,48400.94
2023-08-06,48400.94
2023-08-07,49018.93
2023-08-08,48522.16
2023-08-09,47925.79
2023-08-10,47698.85
2023-08-11,47211.55
2023-08-12,47211.55
2023-08-13,47211.55
2023-08-14,47559.31
2023-08-15,46517.21
2023-08-16,45900.94
2023-08-17,45297.58
2023-08-18,45151.01
2023-08-19,45151.01
2023-08-20,45151.01
2023-08-21,45622.50
2023-08-22,45571.04
2023-08-23,46265.73
2023-08-24,45201.92
2023-08-25,45498.81
2023-08-26,45498.81
2023-08-27,45498.81
2023-08-28,46060.90
2023-08-29,47041.17
2023-08-30,47026.45
2023-08-31,47296.04
2023-09-01,47610.09
2023-09-02,47610.09
2023-09-03,47610.09
2023-09-04,47610.09
2023-09-05,47793.64
2023-09-06,47266.02
2023-09-07,47079.96
2023-09-08,46954.69
2023-09-09,46954.69
2023-09-10,46954.69
2023-09-11,47817.37
2023-09-12,47401.30
2023-09-13,47294.96
2023-09-14,47882.55
2023-09-15,46904.27
2023-09-16,46904.27
2023-09-17,46904.27
2023-09-18,46581.38
2023-09-19,46596.62
2023-09-20,46205.19
2023-09-21,45394.12
2023-09-22,45511.62
2023-09-23,45511.62
2023-09-24,45511.62
2023-09-25,45271.21
2023-09-26,44721.72
2023-09-27,44646.95
2023-09-28,45164.16
2023-09-29,45207.96
2023-09-30,45207.96
2023-10-01,45207.96
2023-10-02,45403.80
2023-10-03,44386.19
2023-10-04,45073.08
2023-10-05,45202.10
2023-10-06,45774.17
2023-10-07,45774.17
2023-10-08,45774.17
2023-10-09,45769.21
2023-10-10,46161.33
2023-10-11,46479.98
2023-10-12,45759.16
2023-10-13,44926.93
2023-10-14,44926.93
2023-10-15,44926.93
2023-10-16,45762.69
2023-10-17,46227.45
2023-10-18,45198.82
2023-10-19,44792.97
2023-10-20,44276.06
2023-10-21,44276.06
2023-10-22,44276.06
2023-10-23,44587.62
2023-10-24,45107.41
2023-10-25,43401.44
2023-10-26,42321.20
2023-10-27,42744.37
2023-10-28,42744.37
2023-10-29,42744.37
2023-10-30,43370.15
2023-10-31,44245.57
2023-11-01,44711.54
2023-11-02,45184.25
2023-11-03,45939.80
2023-11-04,45939.80
2023-11-05,45939.80
2023-11-06,45771.95
2023-11-07,46027.60
2023-11-08,45390.24
2023-11-09,45002.08
2023-11-10,45705.98
2023-11-11,45705.98
2023-11-12,45705.98
2023-11-13,45783.65
2023-11-14,47171.59
2023-11-15,47135.91
2023-11-16,46589.38
2023-11-17,46946.28
2023-11-18,46946.28
2023-11-19,46946.28
2023-11-20,47420.07
2023-11-21,46741.02
2023-11-22,47112.55
2023-11-23,47112.55
2023-11-24,47058.20
2023-11-25,47058.20
2023-11-26,47058.20
2023-11-27,46884.45
2023-11-28,47176.68
2023-11-29,46922.78
2023-11-30,46839.22
2023-12-01,47456.20
2023-12-02,47456.20
2023-12-03,47456.20
2023-12-04,47292.90
2023-12-05,46930.56
2023-12-06,46716.56
2023-12-07,47589.44
2023-12-08,48183.12
2023-12-09,48183.12
2023-12-10,48183.12
2023-12-11,48074.50
2023-12-12,48662.33
2023-12-13,49330.41
2023-12-14,49551.24
2023-12-15,49777.54
2023-12-16,49777.54
2023-12-17,49777.54
2023-12-18,50529.06
2023-12-19,51233.67
2023-12-20,50471.68
2023-12-21,51104.48
2023-12-22,51080.33
2023-12-23,51080.33
2023-12-24,51080.33
2023-12-25,51080.33
2023-12-26,51300.15
2023-12-27,51293.80
2023-12-28,51273.62
2023-12-29,50651.65
2023-12-30,50651.65
2023-12-31,50651.65
2024-01-01,50651.65
2024-01-02,49718.21
2024-01-03,48997.35
2024-01-04,48919.06
2024-01-05,49406.94
2024-01-06,49406.94
2024-01-07,49406.94
2024-01-08,50495.76
2024-01-09,50222.33
2024-01-10,51197.64
2024-01-11,51208.46
2024-01-12,50877.05
2024-01-13,50877.05
2024-01-14,50877.05
2024-01-15,50877.05
2024-01-16,50155.75
2024-01-17,49927.11
2024-01-18,50652.78
2024-01-19,51532.15
2024-01-20,51532.15
2024-01-21,51532.15
2024-01-22,51616.64
2024-01-23,52039.15
2024-01-24,52049.15
2024-01-25,51779.65
2024-01-26,51977.07
2024-01-27,51977.07
2024-01-28,51977.07
2024-01-29,53033.20
2024-01-30,52583.40
2024-01-31,51093.44
2024-02-01,51766.30
2024-02-02,56187.03
2024-02-03,56187.03
2024-02-04,56187.03
2024-02-05,55455.79
2024-02-06,55902.75
2024-02-07,56672.85
2024-02-08,56248.80
2024-02-09,56446.62
2024-02-10,56446.62
2024-02-11,56446.62
2024-02-12,56499.13
2024-02-13,55106.82
2024-02-14,56473.39
2024-02-15,57283.39
2024-02-16,56064.13
2024-02-17,56064.13
2024-02-18,56064.13
2024-02-19,56064.13
2024-02-20,55655.55
2024-02-21,55423.24
2024-02-22,56611.20
2024-02-23,56790.22
2024-02-24,56790.22
2024-02-25,56790.22
2024-02-26,56789.67
2024-02-27,57414.90
2024-02-28,57144.80
2024-02-29,57818.71
2024-03-01,58439.28
2024-03-02,58439.28
2024-03-03,58439.28
2024-03-04,57713.94
2024-03-05,56890.39
2024-03-06,57037.13
2024-03-07,58246.13
2024-03-08,57691.40
2024-03-09,57691.40
2024-03-10,57691.40
2024-03-11,56514.47
2024-03-12,57605.99
2024-03-13,57529.32
2024-03-14,57103.92
2024-03-15,56383.53
2024-03-16,56383.53
2024-03-17,56383.53
2024-03-18,57333.40
2024-03-19,57217.76
2024-03-20,58175.49
2024-03-21,58222.15
2024-03-22,57975.82
2024-03-23,57975.82
2024-03-24,57975.82
2024-03-25,58014.28
2024-03-26,57898.07
2024-03-27,58036.78
2024-03-28,57768.10
2024-03-29,57768.10
2024-03-30,57768.10
2024-03-31,57768.10
2024-04-01,57949.31
2024-04-02,57738.03
2024-04-03,58269.46
2024-04-04,57998.20
2024-04-05,58906.53
2024-04-06,58906.53
2024-04-07,58906.53
2024-04-08,58818.87
2024-04-09,59162.34
2024-04-10,58748.84
2024-04-11,59224.96
2024-04-12,58058.50
2024-04-13,58058.50
2024-04-14,58058.50
2024-04-15,56909.63
2024-04-16,57007.63
2024-04-17,56625.88
2024-04-18,56776.03
2024-04-19,55617.67
2024-04-20,55617.67
2024-04-21,55617.67
2024-04-22,55924.25
